AB012070.1	𝜷.1
AF161817.1	𝜷.3.1
KJ559339.1	𝜷.3.1
KJ626709.1	𝜷.3.1
KP752532.1	𝜷.3.1
AF170834.1	𝜷.3.1
DQ904521.2	𝜷.3.1
AF161821.1	𝜷.3.1
KJ626899.1	𝜷.3.1
AF500235.1	𝜷.3.1
FJ386453.1	𝜷.3.1
KJ627017.1	𝜷.3.1
DQ015684.1	𝜷.3.1
KJ412682.1	𝜷.3.1
KJ559231.1	𝜷.3.1
JQ863314.1	𝜷.3.1
LC311231.1	𝜷.3.1
OR205868.1	𝜷.3.1
AY603149.1	𝜷.3.1
AB039035.1	𝜷.3.1
KJ559058.1	𝜷.3.1
AF161819.1	𝜷.3.1
AF161820.1	𝜷.3.1
KJ559209.1	𝜷.3.1
X13603.1	𝜷.3.1
FJ598039.1	𝜷.3.1
A01321.1	𝜷.3.1
AF161822.1	𝜷.3.1
AF170837.1	𝜷.3.1
KJ559154.1	𝜷.3.1
KJ752863.1	𝜷.3.1
HQ846884.1	𝜷.3.1
KJ559142.1	𝜷.3.1
KJ559131.1	𝜷.3.1
OQ789849.1	𝜷.3.1
MN206122.1	𝜷.3.1
KJ412887.1	𝜷.3.1
AF480279.1	𝜷.3.1
AB039025.1	𝜷.3.2
AB039027.1	𝜷.3.2
AB039031.1	𝜷.3.3
AB039032.1	𝜷.3.4
AF450294.1	𝜷.3.5
AB077057.1	𝜷.4.1
AB077055.1	𝜷.4.1
AB077054.1	𝜷.4.1
KJ940165.1	𝜷.4.2
MF940608.1	𝜷.4.2
GQ398014.1	𝜷.4.2
AF039524.1	𝜷.4.2
LC336588.1	𝜷.4.2
FJ347127.1	𝜷.4.2
MF940610.1	𝜷.4.2
AF545859.1	𝜷.4.2
JX307593.1	𝜷.4.2
JX307592.1	𝜷.4.2
MF940612.1	𝜷.4.2
GQ398012.1	𝜷.4.2
EU835945.1	𝜷.4.2
GQ398018.1	𝜷.4.2
AB044293.1	𝜷.4.2
HM627547.1	𝜷.4.2
AB077058.1	𝜷.4.2
FJ347105.1	𝜷.4.2
MF940611.1	𝜷.4.2
AF545860.1	𝜷.4.2
KF500179.1	𝜷.4.2
EF554153.1	𝜷.4.3
MG214342.1	𝜷.4.3
AB158431.1	𝜷.4.4
KY426808.1	𝜷.4.5
U14998.1	𝜷.4.6
AB077056.1	𝜷.4.7
EF585211.1	𝜷.5.1
AJ491171.1	𝜷.5.1
JQ253569.1	𝜷.5.1
MK560919.1	𝜷.5.1
MW722604.1	𝜷.5.1
MZ095326.1	𝜷.5.1
KX536667.1	𝜷.5.1
DQ236060.1	𝜷.5.1
KJ626887.1	𝜷.5.1
KJ454497.1	𝜷.5.1
AB364368.1	𝜷.5.1
KM043004.1	𝜷.5.1
AJ250271.1	𝜷.5.1
KF723280.1	𝜷.5.1
EF694195.1	𝜷.5.1
AY307093.1	𝜷.5.1
LC514541.1	𝜷.5.1
AY487882.1	𝜷.5.1
KM042986.1	𝜷.5.1
LC105347.1	𝜷.5.1
MH712928.1	𝜷.5.1
AY487871.1	𝜷.5.1
AY487881.1	𝜷.5.1
AB091746.1	𝜷.5.1
KJ454452.1	𝜷.5.1
AB436832.1	𝜷.5.1
GQ154534.1	𝜷.5.1
MH712929.1	𝜷.5.1
MK050184.1	𝜷.5.1
AF529865.1	𝜷.5.1
AB364377.1	𝜷.5.1
EF694210.1	𝜷.5.1
KJ753134.1	𝜷.5.1
AJ491153.1	𝜷.5.1
AB297791.1	𝜷.5.1
AY487885.1	𝜷.5.1
DQ056299.1	𝜷.5.1
KP752642.1	𝜷.5.1
JQ253574.1	𝜷.5.1
JF766583.1	𝜷.5.1
AY866502.1	𝜷.5.1
AJ491184.1	𝜷.5.1
AJ491172.1	𝜷.5.1
KM043003.1	𝜷.5.1
AJ491175.1	𝜷.5.1
MZ093808.1	𝜷.5.1
MW722605.1	𝜷.5.1
AY487889.1	𝜷.5.1
KJ454459.1	𝜷.5.1
DQ873674.1	𝜷.5.1
KJ627132.1	𝜷.5.1
AY307085.1	𝜷.5.1
LC018671.1	𝜷.5.1
JN605420.1	𝜷.5.1
KJ454494.1	𝜷.5.1
EF199732.1	𝜷.5.1
LC105270.1	𝜷.5.1
MW722644.1	𝜷.5.1
AB534529.1	𝜷.5.1
KX574245.1	𝜷.5.1
MF540702.1	𝜷.5.1
FJ529386.2	𝜷.5.1
MK560917.1	𝜷.5.1
MH712930.1	𝜷.5.1
AJ491164.1	𝜷.5.1
DQ822598.1	𝜷.5.1
KJ753484.1	𝜷.5.1
EU839933.1	𝜷.5.1
LC105336.1	𝜷.5.1
KM043010.1	𝜷.5.1
AY211066.1	𝜷.5.1
DQ096288.1	𝜷.5.1
JX411968.1	𝜷.5.1
KM042991.1	𝜷.5.1
EF197979.1	𝜷.5.1
KF636350.1	𝜷.5.1
MN552061.1	𝜷.5.1
LC190491.1	𝜷.5.1
EF199730.1	𝜷.5.1
KJ412758.1	𝜷.5.1
MH712932.1	𝜷.5.1
MH368517.1	𝜷.5.1
MK302438.1	𝜷.5.1
EF585201.1	𝜷.5.1
EF199737.1	𝜷.5.1
FJ348355.1	𝜷.5.1
KJ627094.1	𝜷.5.1
AJ250542.1	𝜷.5.1
DQ236058.1	𝜷.5.1
AF359358.1	𝜷.5.1
DQ990317.1	𝜷.5.1
EU708600.1	𝜷.5.1
AY699298.1	𝜷.5.1
AY253839.1	𝜷.5.1
AB364380.1	𝜷.5.1
ON456082.1	𝜷.5.1
KJ454469.1	𝜷.5.1
AJ491158.1	𝜷.5.1
MH291285.1	𝜷.5.1
AB364375.1	𝜷.5.1
AJ491160.1	𝜷.5.1
KX632303.1	𝜷.5.1
KX632248.1	𝜷.5.1
MK560911.1	𝜷.5.1
KJ454489.1	𝜷.5.1
AY631125.1	𝜷.5.1
KM042992.1	𝜷.5.1
AB045373.1	𝜷.5.1
EF159957.1	𝜷.5.1
KP753098.1	𝜷.5.1
AY307089.1	𝜷.5.1
AB436825.1	𝜷.5.1
AY630924.1	𝜷.5.1
JN605442.1	𝜷.5.1
KJ626876.1	𝜷.5.1
AJ491161.1	𝜷.5.1
KJ454449.1	𝜷.5.1
KJ454475.1	𝜷.5.1
AF501578.1	𝜷.5.1
AY629560.1	𝜷.5.1
MH368513.1	𝜷.5.1
KJ626665.1	𝜷.5.1
KP753114.1	𝜷.5.1
MZ095086.1	𝜷.5.1
KJ454473.1	𝜷.5.1
MW722641.1	𝜷.5.1
KP752928.1	𝜷.5.1
AY699295.1	𝜷.5.1
MW722595.1	𝜷.5.1
KJ454496.1	𝜷.5.1
JF965009.1	𝜷.5.1
EU708597.1	𝜷.5.1
KP881889.1	𝜷.5.1
MF580840.1	𝜷.5.1
AJ491166.1	𝜷.5.1
LC477371.1	𝜷.5.1
FJ529389.2	𝜷.5.1
JX185763.1	𝜷.5.1
KJ454485.1	𝜷.5.1
KP881944.1	𝜷.5.1
AJ279082.1	𝜷.5.1
LC105314.1	𝜷.5.1
EU839929.1	𝜷.5.1
EF585207.1	𝜷.5.1
KJ454479.1	𝜷.5.1
LC439271.1	𝜷.5.1
KM008663.1	𝜷.5.1
AB364373.1	𝜷.5.1
AJ491173.1	𝜷.5.1
LC105434.1	𝜷.5.1
KM043011.1	𝜷.5.1
MW722649.1	𝜷.5.1
KP882043.1	𝜷.5.1
KJ454476.1	𝜷.5.1
MT005303.1	𝜷.5.1
AY866500.1	𝜷.5.1
AY487877.1	𝜷.5.1
JQ253565.1	𝜷.5.1
KJ752656.1	𝜷.5.1
KM043016.1	𝜷.5.1
MH712923.1	𝜷.5.1
AB091778.1	𝜷.5.1
KJ454461.1	𝜷.5.1
KJ412769.1	𝜷.5.1
LC227993.1	𝜷.5.1
KP882032.1	𝜷.5.1
DQ990318.1	𝜷.5.1
MH712934.1	𝜷.5.1
KP752620.1	𝜷.5.1
MW384115.1	𝜷.5.1
AY262748.1	𝜷.5.1
AJ491159.1	𝜷.5.1
EF585213.1	𝜷.5.1
JF965010.1	𝜷.5.1
MW722663.1	𝜷.5.1
GU937089.1	𝜷.5.1
JN605409.1	𝜷.5.1
DQ117939.1	𝜷.5.1
DQ672630.1	𝜷.5.1
MT784825.1	𝜷.5.1
KJ454448.1	𝜷.5.1
AY253833.1	𝜷.5.1
HQ018932.1	𝜷.5.1
AJ491189.1	𝜷.5.1
MW722650.1	𝜷.5.1
LC105325.1	𝜷.5.1
AY262746.1	𝜷.5.1
EF059922.1	𝜷.5.1
JX195068.1	𝜷.5.1
JN849142.1	𝜷.5.1
KJ626823.1	𝜷.5.1
KJ820885.1	𝜷.5.1
KJ751674.1	𝜷.5.1
OK334751.1	𝜷.5.1
AB436823.1	𝜷.5.1
MW722623.1	𝜷.5.1
AJ491188.1	𝜷.5.1
MN067004.1	𝜷.5.1
AY487874.1	𝜷.5.1
AB436820.1	𝜷.5.1
DQ321497.1	𝜷.5.1
AF501580.1	𝜷.5.1
KM042998.1	𝜷.5.1
HQ230034.1	𝜷.5.1
EU839931.1	𝜷.5.1
AY487865.1	𝜷.5.1
EU708601.1	𝜷.5.1
KP882758.1	𝜷.5.1
LC227996.1	𝜷.5.1
LC172405.1	𝜷.5.1
AY262747.1	𝜷.5.1
KM008661.1	𝜷.5.1
KX009891.1	𝜷.5.1
KJ753035.1	𝜷.5.1
KP881999.1	𝜷.5.1
AY699294.1	𝜷.5.1
AY487853.1	𝜷.5.1
JQ253568.1	𝜷.5.1
AY866503.1	𝜷.5.1
MH368523.1	𝜷.5.1
OK334760.1	𝜷.5.1
KX574237.1	𝜷.5.1
HQ018934.1	𝜷.5.1
KJ454482.1	𝜷.5.1
LC172364.1	𝜷.5.1
EU159192.1	𝜷.5.1
KX009887.1	𝜷.5.1
KM043007.1	𝜷.5.1
HQ018933.1	𝜷.5.1
AY866505.1	𝜷.5.1
AB905466.1	𝜷.5.1
EF694216.1	𝜷.5.1
EU708592.1	𝜷.5.1
AF438228.1	𝜷.5.1
LC172383.1	𝜷.5.1
AY211065.1	𝜷.5.1
AY699292.1	𝜷.5.1
DQ647423.1	𝜷.5.1
KM042993.1	𝜷.5.1
DQ096293.1	𝜷.5.1
MW722630.1	𝜷.5.1
MT784823.1	𝜷.5.1
KJ094946.1	𝜷.5.1
MH712933.1	𝜷.5.1
KJ454471.1	𝜷.5.1
GQ452938.2	𝜷.5.1
AB364379.1	𝜷.5.1
KP941126.1	𝜷.5.1
LC514486.1	𝜷.5.1
AY816184.1	𝜷.5.1
AB364383.1	𝜷.5.1
GU377148.2	𝜷.5.1
MF352443.1	𝜷.5.1
AJ491192.1	𝜷.5.1
LC172385.1	𝜷.5.1
AX348206.1	𝜷.5.1
MN067014.1	𝜷.5.1
KJ626632.1	𝜷.5.1
MT005292.1	𝜷.5.1
LC172382.1	𝜷.5.1
AF529867.1	𝜷.5.1
DQ056296.1	𝜷.5.1
KF723277.1	𝜷.5.1
KF723278.1	𝜷.5.1
AB534528.1	𝜷.5.1
KJ126833.1	𝜷.5.1
HM773642.1	𝜷.5.1
KJ751987.1	𝜷.5.1
MK560918.1	𝜷.5.1
LC227989.1	𝜷.5.1
MH368520.1	𝜷.5.1
KX632314.1	𝜷.5.1
AJ491168.1	𝜷.5.1
EF694215.1	𝜷.5.1
LC227990.1	𝜷.5.1
LC172365.1	𝜷.5.1
MK560920.1	𝜷.5.1
MZ065619.1	𝜷.5.1
EU708596.1	𝜷.5.1
KJ627029.1	𝜷.5.1
OQ789856.1	𝜷.5.1
KJ751965.1	𝜷.5.1
MN577086.1	𝜷.5.1
MK560915.1	𝜷.5.1
EF199725.1	𝜷.5.1
KX574232.1	𝜷.5.1
ON992984.1	𝜷.5.1
AY253835.1	𝜷.5.1
AF529870.1	𝜷.5.1
MT339194.1	𝜷.5.1
AB091748.1	𝜷.5.1
MN066759.1	𝜷.5.1
AY196107.1	𝜷.5.1
AJ491169.1	𝜷.5.1
AB364376.1	𝜷.5.1
AJ491180.1	𝜷.5.1
EF199728.1	𝜷.5.1
MW722647.1	𝜷.5.1
KM008665.1	𝜷.5.1
AY211068.1	𝜷.5.1
MH382838.1	𝜷.5.1
MW722624.1	𝜷.5.1
FJ183360.1	𝜷.5.1
AY487875.1	𝜷.5.1
OP255986.1	𝜷.5.1
AF274970.1	𝜷.5.1
MW722600.1	𝜷.5.1
MH368511.1	𝜷.5.1
LC668549.1	𝜷.5.1
KU738605.1	𝜷.5.1
OP378559.1	𝜷.5.1
EU708598.1	𝜷.5.1
KP882285.1	𝜷.5.1
AY487878.1	𝜷.5.1
OK334738.1	𝜷.5.1
EF199731.1	𝜷.5.1
AB364382.1	𝜷.5.1
EF990708.1	𝜷.5.1
KJ752300.1	𝜷.5.1
KX574244.1	𝜷.5.1
EU159194.1	𝜷.5.1
HM773620.1	𝜷.5.1
AY699300.1	𝜷.5.1
AB364374.1	𝜷.5.1
KX574240.1	𝜷.5.1
AY487883.1	𝜷.5.1
MW722656.1	𝜷.5.1
MW722628.1	𝜷.5.1
AY196106.1	𝜷.5.1
KJ454477.1	𝜷.5.1
MW722599.1	𝜷.5.1
AY487868.1	𝜷.5.1
KJ626540.1	𝜷.5.1
AY487860.1	𝜷.5.1
MF580841.1	𝜷.5.1
KJ626518.1	𝜷.5.1
KF636294.1	𝜷.5.1
AB436835.1	𝜷.5.1
LC105292.1	𝜷.5.1
MW722643.1	𝜷.5.1
HQ230037.1	𝜷.5.1
MW722610.1	𝜷.5.1
AY487867.1	𝜷.5.1
AY699291.1	𝜷.5.1
KJ626507.1	𝜷.5.1
GU377146.2	𝜷.5.1
KJ454450.1	𝜷.5.1
LC514475.1	𝜷.5.1
MW722652.1	𝜷.5.1
MH712925.1	𝜷.5.1
EF199729.1	𝜷.5.1
MZ065784.1	𝜷.5.1
AJ250268.1	𝜷.5.1
JF703094.1	𝜷.5.1
MH712927.1	𝜷.5.1
AJ491178.1	𝜷.5.1
AY487873.1	𝜷.5.1
DQ117938.1	𝜷.5.1
KX574242.1	𝜷.5.1
MW722638.1	𝜷.5.1
KF723276.1	𝜷.5.1
MZ095348.1	𝜷.5.1
AB436826.1	𝜷.5.1
AB436827.1	𝜷.5.1
JN605453.1	𝜷.5.1
MH712924.1	𝜷.5.1
LC105260.1	𝜷.5.1
MW722612.1	𝜷.5.1
AY487891.1	𝜷.5.1
AJ250272.1	𝜷.5.1
AY487879.1	𝜷.5.1
HQ392002.1	𝜷.5.1
JF813102.1	𝜷.5.1
FJ794174.1	𝜷.5.1
AJ250275.1	𝜷.5.1
JX195090.1	𝜷.5.1
AF529871.1	𝜷.5.1
DQ207390.1	𝜷.5.1
KJ454483.1	𝜷.5.1
AY487856.1	𝜷.5.1
JN605431.1	𝜷.5.1
KJ626576.1	𝜷.5.1
LC569530.1	𝜷.5.1
GQ869841.1	𝜷.5.1
KX536668.1	𝜷.5.1
ON456081.1	𝜷.5.1
FJ348352.1	𝜷.5.1
AY196112.1	𝜷.5.1
AY487890.1	𝜷.5.1
EF694197.1	𝜷.5.1
KJ454478.1	𝜷.5.1
MH368509.1	𝜷.5.1
LC546077.1	𝜷.5.1
KP752850.1	𝜷.5.1
LC172287.1	𝜷.5.1
KM008664.1	𝜷.5.1
DQ096291.1	𝜷.5.1
AB905463.1	𝜷.5.1
AF274971.1	𝜷.5.1
DQ056298.1	𝜷.5.1
KX574235.1	𝜷.5.1
AF060487.1	𝜷.5.1
MN066848.1	𝜷.5.1
MN066996.1	𝜷.5.1
LC172378.1	𝜷.5.1
AY487862.1	𝜷.5.1
KX632325.1	𝜷.5.1
KF723282.1	𝜷.5.1
KM043015.1	𝜷.5.1
AY487861.1	𝜷.5.1
AY603151.1	𝜷.5.1
MW722637.1	𝜷.5.1
KM042994.1	𝜷.5.1
MZ094812.1	𝜷.5.1
AY879296.1	𝜷.5.1
LC569526.1	𝜷.5.1
DQ822601.1	𝜷.5.1
MH712920.1	𝜷.5.1
OM920809.1	𝜷.5.1
AB436821.1	𝜷.5.1
GU377164.2	𝜷.5.1
KJ412525.1	𝜷.5.1
KM008662.1	𝜷.5.1
MN577090.1	𝜷.5.1
AF529872.1	𝜷.5.1
LC172413.1	𝜷.5.1
JF965008.1	𝜷.5.1
ON500509.1	𝜷.5.1
MN921186.1	𝜷.5.1
MN552077.1	𝜷.5.1
MZ093662.1	𝜷.5.1
AY196111.1	𝜷.5.1
EU159198.1	𝜷.5.1
AY196120.1	𝜷.5.1
AY487863.1	𝜷.5.1
KJ753686.1	𝜷.5.1
MK560910.1	𝜷.5.1
KJ454460.1	𝜷.5.1
OK334756.1	𝜷.5.1
LC227987.1	𝜷.5.1
KJ454481.1	𝜷.5.1
EF585203.1	𝜷.5.1
DQ490173.1	𝜷.5.1
AJ491174.1	𝜷.5.1
MH368519.1	𝜷.5.1
KJ454480.1	𝜷.5.1
AY253838.1	𝜷.5.1
DQ096289.1	𝜷.5.1
KJ454466.1	𝜷.5.1
KX778607.1	𝜷.5.1
MT784828.1	𝜷.5.1
GQ869843.1	𝜷.5.1
KP882098.1	𝜷.5.1
GU392978.1	𝜷.5.1
MN067177.1	𝜷.5.1
MW722618.1	𝜷.5.1
DQ321495.1	𝜷.5.1
EF694199.1	𝜷.5.1
AY866504.1	𝜷.5.1
MH712926.1	𝜷.5.1
HQ425292.1	𝜷.5.1
AJ491170.1	𝜷.5.1
AF529869.1	𝜷.5.1
KM042997.1	𝜷.5.1
KF673477.1	𝜷.5.1
MN066976.1	𝜷.5.1
AY184813.1	𝜷.5.1
KX536669.1	𝜷.5.1
KF723279.1	𝜷.5.1
EF585209.1	𝜷.5.1
JN591406.1	𝜷.5.1
KJ454491.1	𝜷.5.1
GQ229053.1	𝜷.5.1
KJ753539.1	𝜷.5.1
MW722601.1	𝜷.5.1
AY487894.1	𝜷.5.1
AY603150.1	𝜷.5.1
AF274969.1	𝜷.5.1
KM042996.1	𝜷.5.1
KJ919871.1	𝜷.5.1
MF540696.1	𝜷.5.1
KX574251.1	𝜷.5.1
AY695811.1	𝜷.5.1
KJ627052.1	𝜷.5.1
FJ695604.1	𝜷.5.1
LC227991.1	𝜷.5.1
MN552133.1	𝜷.5.1
AY196113.1	𝜷.5.1
MW384291.1	𝜷.5.1
EF199735.1	𝜷.5.1
EU753963.1	𝜷.5.1
KP752499.1	𝜷.5.1
DQ117937.1	𝜷.5.1
MW722655.1	𝜷.5.1
AY196123.1	𝜷.5.1
AY699290.1	𝜷.5.1
MS907255.1	𝜷.5.1
AF529864.1	𝜷.5.1
AJ491163.1	𝜷.5.1
AF529866.1	𝜷.5.1
AJ250543.1	𝜷.5.1
AY487866.1	𝜷.5.1
KM043009.1	𝜷.5.1
GQ149704.1	𝜷.5.1
MH382846.1	𝜷.5.1
GQ149703.1	𝜷.5.1
KM008659.1	𝜷.5.1
MK050175.1	𝜷.5.1
LC433790.1	𝜷.5.1
AY487887.1	𝜷.5.1
EU708594.1	𝜷.5.1
AY487869.1	𝜷.5.1
AY487893.1	𝜷.5.1
LC105303.1	𝜷.5.1
AJ491191.1	𝜷.5.1
KM008658.1	𝜷.5.1
JQ253570.1	𝜷.5.1
AY487859.1	𝜷.5.1
MN552038.1	𝜷.5.1
AY487872.1	𝜷.5.1
AY487880.1	𝜷.5.1
MW722664.1	𝜷.5.1
AY487895.1	𝜷.5.1
AB436830.1	𝜷.5.1
MH368515.1	𝜷.5.1
AB436828.1	𝜷.5.1
HQ127448.1	𝜷.5.1
LC018672.1	𝜷.5.1
JF965003.1	𝜷.5.1
AY196110.1	𝜷.5.1
JF965000.1	𝜷.5.1
KX632292.1	𝜷.5.1
KJ454490.1	𝜷.5.1
EU159195.1	𝜷.5.1
AJ491190.1	𝜷.5.1
KX574233.1	𝜷.5.1
EF159956.1	𝜷.5.1
AB436831.1	𝜷.5.1
LC172400.1	𝜷.5.1
AJ491176.1	𝜷.5.1
KJ626992.1	𝜷.5.1
MW722627.1	𝜷.5.2
MW384247.1	𝜷.5.2
MW722642.1	𝜷.5.2
LC105478.1	𝜷.5.2
LC668483.1	𝜷.5.2
MW722582.1	𝜷.5.2
LC688295.1	𝜷.5.2
MW384313.1	𝜷.5.2
LC172452.1	𝜷.5.2
MF580842.1	𝜷.5.2
MF580844.1	𝜷.5.2
LC491473.1	𝜷.5.2
LC491506.1	𝜷.5.2
MW384005.1	𝜷.5.2
MW384038.1	𝜷.5.2
MW384225.1	𝜷.5.2
LC105445.1	𝜷.5.2
LC172424.1	𝜷.5.2
LC568862.1	𝜷.5.2
MW384324.1	𝜷.5.2
LC568872.1	𝜷.5.2
MF580843.1	𝜷.5.2
LC569673.1	𝜷.5.2
MW722565.1	𝜷.5.2
LC228408.1	𝜷.5.2
KF673479.1	𝜷.5.2
LC568876.1	𝜷.5.2
LC668461.1	𝜷.5.2
MH368524.1	𝜷.5.2
KX778598.1	𝜷.5.2
LC105391.1	𝜷.5.2
MW722639.1	𝜷.5.2
KX778608.1	𝜷.5.2
KF673478.1	𝜷.5.2
MN552103.1	𝜷.5.2
MW384192.1	𝜷.5.2
OP850515.1	𝜷.5.2
KJ753473.1	𝜷.5.2
MG816529.1	𝜷.5.2
LC668650.1	𝜷.5.2
MW722566.1	𝜷.5.2
LC568892.1	𝜷.5.2
LC568881.1	𝜷.5.2
LC668439.1	𝜷.5.2
MW722559.1	𝜷.5.2
LC668450.1	𝜷.5.2
LC172449.1	𝜷.5.2
MW722631.1	𝜷.5.2
MW384214.1	𝜷.5.2
MW722614.1	𝜷.5.2
MW384280.1	𝜷.5.2
KX778602.1	𝜷.5.2
LC568877.1	𝜷.5.2
LC568907.1	𝜷.5.2
LC491440.1	𝜷.5.2
KF673480.1	𝜷.5.2
LC668472.1	𝜷.5.2
LC568869.1	𝜷.5.2
LC568901.1	𝜷.5.2
MW722603.1	𝜷.5.2
OP901804.1	𝜷.5.2
MW722580.1	𝜷.5.2
KX778605.1	𝜷.5.2
LC668647.1	𝜷.5.2
LC477367.1	𝜷.5.2
MW722651.1	𝜷.5.2
LC568879.1	𝜷.5.2
LC568888.1	𝜷.5.2
MW722653.1	𝜷.5.2
LC477378.1	𝜷.5.2
MT107163.1	𝜷.5.2
MW384104.1	𝜷.5.2
MZ165505.1	𝜷.5.2
MG816528.1	𝜷.5.2
LC668538.1	𝜷.5.2
LC477374.1	𝜷.5.2
MW384181.1	𝜷.5.2
KF673487.1	𝜷.5.2
MW384412.1	𝜷.5.2
MN577087.1	𝜷.5.2
LC568894.1	𝜷.5.2
MW827712.1	𝜷.5.2
KX778601.1	𝜷.5.2
LC172396.1	𝜷.5.2
MW722646.1	𝜷.5.2
MN106113.1	𝜷.5.2
LC668646.1	𝜷.5.2
LC228397.1	𝜷.5.2
LC568865.1	𝜷.5.2
LC568896.1	𝜷.5.2
KY661941.1	𝜷.5.2
MW722657.1	𝜷.5.2
KF673488.1	𝜷.5.2
LC568885.1	𝜷.5.2
MW722617.1	𝜷.5.2
KF673483.1	𝜷.5.2
LC172435.1	𝜷.5.2
MW722569.1	𝜷.5.2
OP850517.1	𝜷.5.2
LC568863.1	𝜷.5.2
LC568908.1	𝜷.5.2
LC668648.1	𝜷.5.2
MW722593.1	𝜷.5.2
MW722588.1	𝜷.5.2
MW722563.1	𝜷.5.2
MZ407393.1	𝜷.5.2
MZ165496.1	𝜷.5.2
MH368512.1	𝜷.5.2
LC477354.1	𝜷.5.2
LC477350.1	𝜷.5.2
LC568905.1	𝜷.5.2
LC568882.1	𝜷.5.2
LC568867.1	𝜷.5.2
MW722660.1	𝜷.5.2
LC491559.1	𝜷.5.2
LC568880.1	𝜷.5.2
MW722577.1	𝜷.5.2
LC568914.1	𝜷.5.2
LC491484.1	𝜷.5.2
KJ753632.1	𝜷.5.2
MW383983.1	𝜷.5.2
LC568889.1	𝜷.5.2
LC546076.1	𝜷.5.2
AB848997.1	𝜷.5.2
LC477368.1	𝜷.5.2
LC568868.1	𝜷.5.2
MZ955387.1	𝜷.5.2
MW722558.1	𝜷.5.2
LC568866.1	𝜷.5.2
LC568906.1	𝜷.5.2
MW722592.1	𝜷.5.2
OM301637.1	𝜷.5.2
MW384258.1	𝜷.5.2
MW722620.1	𝜷.5.2
LC668649.1	𝜷.5.2
LC568910.1	𝜷.5.2
KF673489.1	𝜷.5.2
MW722562.1	𝜷.5.2
MN577084.1	𝜷.5.2
LC172445.1	𝜷.5.2
LC491451.1	𝜷.5.2
LC477372.1	𝜷.5.2
MW384335.1	𝜷.5.2
MH368516.1	𝜷.5.2
KX778606.1	𝜷.5.2
MZ407250.1	𝜷.5.2
LC568864.1	𝜷.5.2
MW722621.1	𝜷.5.2
LC568870.1	𝜷.5.2
KY661937.1	𝜷.5.2
LC568883.1	𝜷.5.2
LC477373.1	𝜷.5.2
MF580845.1	𝜷.5.2
MW722662.1	𝜷.5.2
MW722591.1	𝜷.5.2
LC668652.1	𝜷.5.2
LC477377.1	𝜷.5.2
LC668494.1	𝜷.5.2
LC172451.1	𝜷.5.2
LC228386.1	𝜷.5.2
MW722574.1	𝜷.5.2
LC568886.1	𝜷.5.2
KF673490.1	𝜷.5.2
MZ407305.1	𝜷.5.2
MN862245.1	𝜷.5.3
MN862264.1	𝜷.5.3
MN862262.1	𝜷.5.3
AB180971.1	𝜷.5.4
OQ743751.1	𝜷.5.4
MZ643384.1	𝜷.5.5
MN862188.1	𝜷.5.6
KR052729.1	𝜷.5.6
KR052740.1	𝜷.5.6
MN862187.1	𝜷.5.6
MN862178.1	𝜷.5.6
MN862231.1	𝜷.5.6
MN862256.1	𝜷.5.6
MN862255.1	𝜷.5.6
MN862193.1	𝜷.5.6
KC610694.1	𝜷.5.7
AB176682.1	𝜷.5.8
JQ993318.1	𝜷.5.9
D38055.1	𝜷.5.10
OM982717.1	𝜷.5.11
JF796706.1	𝜷.5.12
AB176680.1	𝜷.5.12
JF796717.1	𝜷.5.12
JF796728.1	𝜷.5.12
JF796739.1	𝜷.5.12
AB176681.1	𝜷.5.13
AB176678.1	𝜷.5.13
KM820735.1	𝜷.5.14
KX527758.1	𝜷.5.15
KX527757.1	𝜷.5.15
KX527753.1	𝜷.5.15
MZ643387.1	𝜷.5.16
JX498953.1	𝜷.5.17
AY707787.1	𝜷.5.18
KJ126835.1	𝜷.5.19
JX498942.1	𝜷.5.19
AB176679.1	𝜷.5.20
AB176683.1	𝜷.5.20
JX498952.1	𝜷.5.21
AB176677.1	𝜷.5.22
JX498948.1	𝜷.5.23
JF781163.1	𝜷.5.24
MN862246.1	𝜷.5.25
KC610705.1	𝜷.5.26
AB924111.1	𝜷.5.27
GQ229050.1	𝜷.5.28
KU363149.1	𝜷.5.29
KU363150.1	𝜷.5.29
OR127197.1	𝜷.5.30
MN862226.1	𝜷.5.31
KM820734.1	𝜷.5.32
MH697618.1	𝜷.5.33
MH697629.1	𝜷.5.33
KF534786.1	𝜷.5.34
JX498944.1	𝜷.5.35
MN862192.1	𝜷.5.36
KX655511.1	𝜷.5.37
OM105044.1	𝜷.5.38
AB045374.1	𝜷.5.39
AB091755.1	𝜷.5.39
AB091753.1	𝜷.5.39
MN862239.1	𝜷.5.40
JX498943.1	𝜷.5.41
MZ643400.1	𝜷.5.42
KC610683.1	𝜷.5.43
MN862253.1	𝜷.5.44
KT920711.1	𝜷.6
JF790307.1	𝜷.6
DQ062129.1	𝜷.6
KJ412580.1	𝜷.6
EU016452.1	𝜷.6
KC442934.1	𝜷.6
MN746110.1	𝜷.6
LC372858.1	𝜷.6
MK059439.1	𝜷.6
AB905474.1	𝜷.6
AY206861.1	𝜷.6
OR205592.1	𝜷.6
MF469384.1	𝜷.6
AB905469.1	𝜷.6
AB306270.1	𝜷.6
LC367267.1	𝜷.6
KX574281.1	𝜷.6
OR205591.1	𝜷.6
KJ751596.1	𝜷.6
KT919408.1	𝜷.6
OR205607.1	𝜷.6
MF168205.1	𝜷.6
